time=2026-09-24T00:19:09.744-04:00 level=INFO source=client.go:106 msg="mlx runner is ready" port=52992
time=2026-09-24T00:21:52.833-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3167 cached=3167 left=12
time=2026-09-24T00:21:53.879-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=15 left=3163
time=2026-09-24T00:22:31.189-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=15 left=3163
time=2026-09-24T00:23:08.519-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=3166 left=12
time=2026-09-24T00:23:09.347-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:23:10.223-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=15 cached=15 left=3163
time=2026-09-24T00:23:46.362-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3177 cached=3173 left=5
time=2026-09-24T00:23:47.394-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=15 left=3163
time=2026-09-24T00:24:23.741-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3178 matched=3166 cached=3166 left=12
time=2026-09-24T00:24:24.980-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:24:26.215-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:24:27.435-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:24:28.673-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3211 matched=3189 cached=3189 left=22
time=2026-09-24T00:24:30.324-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3211 matched=3189 cached=3189 left=22
time=2026-09-24T00:24:35.142-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3247 matched=3225 cached=3225 left=22
time=2026-09-24T00:24:36.419-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3285 matched=3263 cached=3263 left=22
time=2026-09-24T00:24:38.526-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:24:39.543-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
time=2026-09-24T00:24:40.591-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3178 cached=3174 left=5
time=2026-09-24T00:24:41.408-04:00 level=INFO source=prefix_cache.go:125 msg="cache hit" total=3179 matched=3166 cached=3166 left=13
